mission,sample_date,granule_used,n_soundings,xco2_ppm_mean,xco2_ppm_stderr
OCO-2,2016-03-15,oco2_LtCO2_160213_B11210Ar_240826181724s.nc4,52,402.8123474121094,0.10793185519392581
OCO-2,2016-11-15,oco2_LtCO2_161017_B11210Ar_240829175315s.nc4,44,402.0810852050781,0.07617535636104462
OCO-2,2018-07-15,oco2_LtCO2_180617_B11210Ar_240910161949s.nc4,2,406.25927734375,0.18110656748470655
OCO-2,2019-11-15,oco2_LtCO2_191019_B11210Ar_240911205813s.nc4,18,409.6055603027344,0.18834552754859418
OCO-2,2020-03-15,oco2_LtCO2_200215_B11210Ar_240913162910s.nc4,114,411.6484375,0.0913901042901891
OCO-2,2021-11-15,oco2_LtCO2_211015_B11210Ar_240916230853s.nc4,68,414.4855651855469,0.0792917999789251
OCO-3,2024-11-15,oco3_LtCO2_241019_B11072Ar_241216155045s.nc4,12,420.787841796875,0.27551729624126275
